RECORD #(BIBLIO);MAT TYPE;008 Date One;008 Date Two;245|a;245|b;246|a;222|a;260|a;260|b;260|c;264|a;264|b;264|c;300;310;911;530;590;866;362
b23281182;s  ;1910;9999;زحلة الفتاة :;لبنانية سياسية مستقلة.;"Zahleh al-fetat$""Zahle el fatat""$""Journal  Zhale el-fatat  :""";زحلة الفتاة;;;;زحلة، لبنان :;إبراهيم الراعي،;1910-;"مجلدات : مصورات ؛ 57 سم";أسبوعية.;CEASE;;;"في المكتبة: مج.1:ع.1(1910:كانون الأول-1911:تشرين الثاني)؛ مج.10:ع.66، 70(1920:أيلول)؛ مج.11:ع.48(1921:تموز)؛ مج.16:ع.83، 90، 93(1926:تشرين الثاني، كانون الأول)؛ مج.17:ع.9(1927:كانون الثاني)؛ مج.18:ع.78(1928:تشرين الأول)؛ مج.20:ع.76(1930:أيلول)؛ مج.21:ع.5(1931:كانون الثاني)؛ مج.22:ع.75، 78(1932:تشرين الأول)؛ مج.23:ع.57، 76(1933:أيلول، تشرين الثاني)؛ مج.27:ع.31، 45، 58، 60، 62، 63(1937:أيار، تموز، أيلول، تشرين الأول)؛ مج.37:ع.2922، 2926(1947:آب)؛ مج.49:ع.3495(1959:تشرين الأول)؛ مج.51:ع.3573(1961:نيسان)؛ ع.3827(1966:أيلول)؛ ع.3873(1967:آب)؛ ع.3954(1969:ت";العدد الأول، كانون الأول 1910-
b21170927;s  ;1898;1900;زهرة الكلية :;جريدة علمية أدبية فكاهية تصدر مرة كل أسبوعين.;"جريدة علمية أدبية فكاهية تصدر مرة كل أسبوعين.$""Zahrat al-kullīyah’ :""";زهرة الكلية;;;; بيروت:;[المدرسة الكلية السورية الإنجيلية]،;1899-1900;أعداد.;مرتين بالشهر.;CEASE;;"The volume is available in AUB Archives/AA.4.2.1Student/Student Manuscript Magazines Box 3.$""تحفظ في دائرة الارشيف والمجموعات الخاصة.""";في المكتبة : ع. 2،4،5،6،8(1900-1899);
b12877505;1  ;1882;1885;سورية :;أسبوعية.;Sūrīyah :;سورية;;;;دمشق :;مطبعة الولاية،;1882-1885.;"بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";أسبوعية.;CEASE;;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية;في المكتبة:1882:حزيران-1885:كانون الثاني،28.;
b21207732;s  ;1906;1906;سورية :;Syria : a review to be issued at intervals as short as possible = مجلة علمية أدبية اصلاحية تصدر عند الامكان;"مجلة علمية أدبية اصلاحية تصدر عند الامكان$""Syria :""$""Sūrīyah :""";سورية;;;;بيروت :;الكلية السورية الانجيلية،;1906.;عددان.;;CEASE;;"The volume is available in AUB Archives/AA.4.2.1Student/Student Manuscript Magazines Box 8.$""تحفظ في دائرة الارشيف والمجموعات الخاصة.""";في المكتبة : س.1 ع. 2،3(1906);
b13144145;s  ;1929;1931;شهرزاد.;;"Scheherazade$""Shahrazād.""";شهرزاد ;;;;القاهرة :;محمد المرصفي،;1929-[1931];"مجلدات : مصورات ؛ 28 سم";أسبوعية.;CEASE;متوفر ايضاً على ميكروفيلم : Mic-NA:000498;;في المكتبة:مج.1:ع.1-مج.2:ع.96(1929-1931);صدر العدد الاول سنة 1929.
b13592646;1  ;1929;1931;شهرزاد.;;"Scheherazade$""Shahrazād""";شهرزاد ;;;;القاهرة :;محمد المرصفي،;1929-[1931];"بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";أسبوعية.;CEASE;متوفر ايضاً على نسخة مطبوعة.;نسخة مصورة على ميكروفيلم. تم التصوير في مكتبة يافث، دائرة المصغرات الفلمية;في المكتبة :ع.1-96 (1929-1931);
b12829080;s  ;1925;1933;صحيفة التجارة والصناعة /;;Ṣaḥīfat al-tijārah wa-al-ṣinā‘ah;صحيفة التجارة والصناعة;;;;القاهرة :;مصلحة التجارة والصناعة،;[1925-1933];"4 مجلدات ؛ 27 سم";شهرية.;CEASE;;;في المكتبة:مج.6-9(1930:آذار-1933:كانون الأول);
b21175159;s  ;1902;1902;صدى الاستعدادية :;جريدة ادبية تاريخية انتقادية تصدر مرة كل اسبوعين;"جريدة ادبية تاريخية انتقادية تصدر مرة كل اسبوعين$""Ṣadá al-Istiʻdādīyah :""";صدى الاستعدادية;;;;بيروت :;[المدرسة الكلية السورية الإنجيلية]،;1902.;6 أعداد.;مرتين في الشهر.;CEASE;;"The volume is available in AUB Archives/AA.4.2.1Student/Student Manuscript Magazines Box 5.$""تحفظ في دائرة الارشيف والمجموعات الخاصة.""";في المكتبة: ع. 3-8 (1902);
b21175263;s  ;1906;1908;صدى الاستعدادية :;/ جريدة علمية ادبية فكاهية تصدر مرة كل ثلاثة أسابيع;"جريدة علمية ادبية فكاهية تصدر مرة كل ثلاثة أسابيع.$""Ṣadá al-Istiʻdādīyah :""";صدى الاستعدادية;;;;بيروت :;المدرسة الكلية السورية الإنجيلية،;1906-1908;8 أعداد.;مرة كل اسبوعين مرة.;CEASE;;"The volume is available in AUB Archives/AA.4.2.1Student/Student Manuscript Magazines Box 5.$""تحفظ في دائرة الارشيف والمجموعات الخاصة.""";"في المكتبة: ع. 2-4 (1906) ؛ ع.1-5 (1908)";
b13407685;1  ;1925;19uu;صدى الشمال :;أسبوعية سياسية.;Ṣadá al-Shamāl :;صدى الشمال;;;;زغرتا، لبنان :;[فريد انطون]،;1925-[19؟؟].;"1 بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";;CEASE;;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية.;في المكتبة:1925:تموز-1927:حزيران.;
b22059118;s  ;1925;197u;صدى الشمال :;أسبوعية سياسية.;Ṣadá al-Shamāl :;صدى الشمال;;;;زغرتا، لبنان :;[فريد انطون]،;1925-[19؟7].;"مجلدات : مصورات ؛ 44 سم";;CEASE;متوفر أيضاً على ميكروفيلم رقم Mic-NA:000106.;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية.;"في المكتبة: ع.441، 464(1931:شباط،أيار)؛ ع.2042(1963:تموز)؛ 1966-1974.";
b23281832;s  ;1900;19uu;صدى لبنان :;خطتها خدمة الحقيقة ومقاومة الإستبداد.;"l'Écho Du liban :$""جريدة صدى لبنان.""";صدى لبنان;;;;لبنان :;[سجعان عارج]،;1900-[19؟؟];"عدد : مصورات ؛ 45 سم";;CEASE;;;في المكتبة:مج.13:ع.242(1913:تشرين الثاني);
b21207653;s  ;1906;1906;صهيون :;جريدة علمية ادبية فكاهية اصلاحية منشؤها متخرجو مدرسة صهيون تصدر عند الامكان = Zion : to be issued at convenience/;"جريدة علمية ادبية فكاهية اصلاحية منشؤها متخرجو مدرسة صهيون تصدر عند الامكان.$""Zion :""$""Ṣihyūn :""";صهيون;;;;بيروت :;الكلية السورية الانجيلية،;1906;عدد 1.;;CEASE;;"تحفظ في دائرة الارشيف والمجموعات الخاصة.$""The volume is available in AUB Archives/AA.4.2.1Student/Student Manuscript Magazines Box 9.""";في المكتبة : السنة الاولى العدد الثاني;
