RECORD #(BIBLIO);MAT TYPE;008 Date One;008 Date Two;245|a;245|b;246|a;222|a;260|a;260|b;260|c;264|a;264|b;264|c;300;310;911;530;590;866;362
b22063808;s  ;1891;1891;[مجلة الجمعية العربية].;;[Majallat al-Jamʻīyah al-ʻArabīyah].;;;;;[بيروت] :;[الكلية السورية الانجيلية]،;[1891].;عدد 1.;;CEASE;;"The volume is available in AUB Archives/AA.4.2.1Student/Student Manuscript Magazines Box 2.$""تحفظ في دائرة الارشيف والمجموعات الخاصة.""";في المكتبة: عدد غير كامل.;
b22064023;s  ;1928;1928;[مجلة مكتوبة بخط اليد].;;;;;;;[بيروت] :;[الكلية السورية الانجيلية]،;[1928؟]; عدد 1.;;CEASE;;"The volume is available in AUB Archives/AA.4.2.1Student/Student Manuscript Magazines Box 23.$""تحفظ في دائرة الارشيف والمجموعات الخاصة.""";في المكتبة: عدد غير كامل[1928؟].;
b21205838;s  ;1903;1904;االدائرة :; جريدة علمية رياضية حكمية تصدر مرة في كل أسبوعين.;"جريدة علمية رياضية حكمية تصدر مرة في كل أسبوعين$""Al-Da'irah :""";الدائرة;;;;بيروت :;[المدرسة الكلية السورية الإنجيلية]،;1903-1904;مجلد.;مرتين في الشهر;CEASE;متوفر أيضاً على ميكروفيلم : Mic-P:AUB:000006;"The volume is available in AUB Archives/AA.4.2.1Student/Student Manuscript Magazines Box 7.$""تحفظ في دائرة الارشيف والمجموعات الخاصة.""";في المكتبة : ج. 1 ع. 1-7 (1903 - 1904);
b1316336x;1  ;1925;1926;الاخبار (القاهرة);;al-Akhbār (al-Qāhirah);الاخبار (القاهرة);;;;القاهرة :;[أمين الرافعي]،;1925-1926.;"1 بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";;CEASE;;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية.;في المكتبة:1925: آب 22 -1926: شباط 28.;
b21208906;s  ;1907;1908;الارزة :;جريدة علمية أدبية فكاهية تصدر مرتين في الشهر.;al-Arzah :;الارزة.;;;;بيروت :;الكلية السورية الإنجيلية،;1907-1908.;5 أعداد.;مرتين في الشهر.;CEASE;;"تحفظ في دائرة الارشيف والمجموعات الخاصة.$""The volume is available in AUB Archives/AA.4.2.1 Student/Student Manuscript Magazines box 11."""; في المكتبة : س. 1 ع. 2-6 (1907-1908).;
b13049938;1  ;1908;1919;الإتحاد العثماني (العدد الأسبوعي).;;al-Ittiḥād al-‘Uthmānī (al-‘adad al-usbū‘ī);الإتحاد العثماني (العدد الأسبوعي);;;;بيروت :;[أحمد حسن طبارة]،;1908-1919.;"1بكرة ميكروفيلم : ايجابي ؛ 35 مم";;CEASE;متوفر ايضاً على نسخة مطبوعة.;ينقص الاعداد 1-5;في المكتبة:1908: كانون الاول - 1909: تشرين الاول 2.;
b1507027x;s  ;1908;1919;الإتحاد العثماني (العدد الأسبوعي).;;al-Ittiḥād al-‘Uthmānī (al-‘adad al-usbū‘ī);الإتحاد العثماني (العدد الأسبوعي);;;;بيروت :;[أحمد حسن طبارة]،;1908-1919.;مجلدات;;CEASE;متوفر ايضاً على ميكروفيلم : Mic-NA:000073a;ينقص الاعداد 1-5;في المكتبة : 1908 - 1909;
b1282155x;1  ;1908;1919;الإتحاد العثماني.;;al-Ittiḥād al-‘Uthmānī;الإتحاد العثماني;;;;بيروت :;[أحمد حسن طبارة]،;1908-1919.;"7 بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";;CEASE;متوفر ايضاً على نسخة مطبوعة.;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية;في المكتبة:1908:أيلول-1916:كانون الثاني.;
b18364792;s  ;1908;uuuu;الإتحاد العثماني.;;al-Ittiḥād al-‘Uthmānī;الإتحاد العثماني;;;;بيروت :;[أحمد حسن طبارة]،;1908-;"7 مجلدات ؛ 30 سم";;CEASE;متوفر ايضاً على ميكروفيلم : Mic-NA:000073;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية;في المكتبة:1908: ايلول - 1916: كانون الثاني;
b15437541;1  ;1916;1921;الإتحاد العربي :;جريدة عربية مستقلة سياسية إخبارية إختصاصية باخبار الوطن.;"al-Ittiḥād al-‘Arabī :$""الزهراوي""";الإتحاد العربي;;;;سان باولو :;[جورج ميخائيل أطلس]،;[1916-1921];"1 بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم.";اسبوعية;CEASE;;"نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية.$""تنقص الاعداد 78 (1921 : ايلول) ؛ 81 (1921 : تموز)""";في المكتبة:مج.2-3(1920:ايلول-1921:كانون الأول);
b12020886;s  ;1910;1958;الإحصاء  السنوي العام /;;"al-Iḥṣā’ al-sanawī al-‘ām$""Annuaire statistique de l'Egypte""";الإحصاء السنوي العام;;;;القاهرة :;الهيئة العامة لشؤون المطابع الأميرية،;1910-[1958];"مجلدات : مصورات ؛  33 سم";;CEASE;;;في المكتبة : 1923-1932، 1940-1941، 1945-1958.;
b25373328;s  ;1924;192u;الإخاء :;مجلة علمية تاريخية أدبية روائية مصوّرة.;AL-Ikhaa : révue arabe mensuelle;الإخاء;;;;مصر :;مطبعة عين شمس،;1924-[192؟];"مجلدات : مصورات ؛ 24 سم";شهرية.;CEASE;;;"في المكتبة: مج.1:ع.9(1924:كانون الأول)؛ مج.3:ع.2-7(1926:أيار-تشرين الأول)؛ مج.4:ع.6، 8، 10(1927:تشرين الثاني،1928: كانون الثاني، آذار)؛ مج.5:ع.1-4، 6، 9، 10(1928:نيسان-تموز، تشرين الثاني، 1929:كانون الثاني، شباط)؛ مج.6:ع.1، 2، 4، 6، 8(1929:نيسان، أيار، تشرين الثاني، 1930:كانون الثاني)؛ مج.7:ع.1، 3، 4، 7، 9(1930:نيسان، حزيران، تموز، كانون أول، 1931:شباط)؛ مج.8:ع.1، 3، 4، 6(1931:أيار، حزيران، تموز، كانون الأول)؛ مج.9:ع.4، 7، 8، 10(1932:تموز، كانون الأول، 1933:كانون ا";
b12826698;s  ;1902;1910;الإستقلال :;مجلة إنتقادية عمرانية أدبية.;"al-Istiqlāl :$""الإستقلال :""";الإستقلال;;;;القاهرة :;نجيب شقرا،;1902-1910.;مجلدات;شهرية.;CEASE;متوفر ايضاً على ميكروفيلم : Mic-NA:000485;;في المكتبة :1902-1910.;صدرت السنة الاولى عام 1902.
b13581235;1  ;1902;1910;الإستقلال :;مجلة إنتقادية عمرانية أدبية.;"al-Istiqlāl :$""الإستقلال :""";الإستقلال;;;;القاهرة :;نجيب شقرا،;1902-1910.;"6 بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";شهرية.;CEASE;متوفر ايضاً على نسخة مطبوعة.;نسخة مصورة على ميكروفيلم. تم التصوير في مكتبة يافث، دائرة المصغرات الفلمية.;في المكتبة:1902-1910.;صدرت السنة الأولى عام 1902.
b12823107;1  ;1894;1913;الإسلام :;جريدة علمية أدبية تاريخية.;al-Islām :;الإسلام;;;;مصر :;أحمد علي الشاذلي الأزهري،;1894-1913.;"1 بكرة ميكروفيلم : ايجابي ؛ 35 مم";;CEASE;;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية.;في المكتبة :1895: يونيو- 1897:كانون الثاني .;شهرية.
b13152622;s  ;1929;1935;الإصلاح :;مجلة أدبية إنتقادية تصورية جامعة.;"al-Iṣlāḥ :$""Renovacion""$""الإصلاح :""$""الإصلاح :""";الإصلاح;;;;بونس ايرس، الأرجنتين :;جورج صوايا،;1929-1935.;"4 مجلدات : مصورات ؛ 25 سم";شهرية.;CEASE;متوفر ايضاً على ميكروفليم : Mic-NA:000478;في المكتبة : ج 3-5 وعدد كانون الاول الممتاز من ج 6.;في المكتبة : مج. 3-6 (1931-1935);
b13375325;1  ;1929;1933;الإصلاح :;مجلة أدبية انتقادية تصورية جامعة.;"al-Iṣlāḥ :$""Renovacion""$""الإصلاح :""$""الإصلاح :""";الإصلاح;;;;بونس ايرس، الأرجنتين :;جورج صوايا،;1929-1933.;"4 بكرات ميكروفيلم ؛ 35 مم";شهرية.;CEASE;متوفر ايضاً على نسخة مطبوعة.;نسخة مصورة على ميكروفيلم. تم الصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية.;في المكتبة:مج.3-5(1931:كانون الثاني-1933:كانون الأول، 1935:كانون الأول);
b13159987;1  ;1913;1913;الإصلاح.;;al-Iṣlāḥ;الإصلاح;;;;بيروت :;[أحمد حسن طبارة]،;1913.;"1 بكرة ميكروفيلم : سلبي وايجابي ؛ 35 سم";;CEASE;;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية.;في المكتبة:1913:أيار-كانون الأول.;
b13150315;1  ;1882;1884;الإعتدال.;;al-I‘tidāl;الإعتدال;;;;الآستانة :;[أحمد قدري]،;1882-1884.;"1بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";;CEASE;;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية، 1999.;في المكتبة:1882-1884.;
b12823259;1  ;1902;    ;الإقبال :;جريدة علمية، سياسية، عمرانية.;"Iqbāl :$""al-Ikbal""";الإقبال;;;;بيروت :;المكتبة الانسية،;1902-1912.;"10 بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";;CEASE;متوفر ايضاً على نسخة مطبوعة.;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية.;في المكتبة :1902: نيسان -1912: كانون اول.;صدر العدد الاول سنة 1902.
b12826686;s  ;1902;1912;الإقبال :;جريدة علمية، سياسية، عمرانية.;"Iqbāl :$""al-Ikbal""";الإقبال;;;;بيروت :;المكتبة الانسية،;1902-1912.;"مجلدات ؛ 42 سم";أسبوعية.;CEASE;متوفر ايضاً على ميكروفيلم رقم : Mic-NA:000164;;في المكتبة : مج. 1-11 (1902-1911);صدر العدد الاول سنة 1902.
b23635332;s  ;1925;192u;الإنارة :;مجلة دينية تاريخية علمية أدبية.;al-Inarah;الإنارة;;;;عكا، فلسطين :;المطبعة الوطنية،;1925-[19؟2];"عدد ؛ 22 سم";شهرية.;CEASE;;;في المكتبة: مج.4:ع.2(1928:تشرين الأول);أيلول 1925.
b23272867;s  ;1910;1912;الإنسانية.;;;الإنسانية;;;;حماة، سوريا :;مطبعة جريدة حمص،;1910-1912.;"2 مجلد ؛ 22 سم";شهرية.;CEASE;;;في المكتبة: مج.1:ع.1-مج.2:ع.12(1910:نيسان-1912:آذار);السنة الأولى، الجزء الأول (نيسان 1910)-السنة الثانية، الجزء الثاني عشر(آذار 1912)
b12821561;1  ;1912;1913;الإئتلاف العثماني.;;al-I’tilāf al-‘Uthmānī;الإئتلاف العثماني;;;;بيروت :;[أحمد حسن طبارة]،;1912-1913.;"1 بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";;CEASE;;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية.;"في المكتبة:1912:آب-تشرين الثاني؛ 1913:آب-تشرين الثاني.";
b12817909;s  ;1897;1898;الأجيال :;أسبوعية مصورة.;al-Ajyāl :;الأجيال;;;;القاهرة :;دار الأجيال،;1897-1898.;"مجلد : مصورات ؛ 25 سم";أسبوعية.;CEASE;متوفر ايضاً على ميكروفيلم : Mic-NA:000366;;في المكتبة:(1897:تموز-1898:تموز);صدر العدد الاول السنة الاولى في 29 حزيران 1897.
b13161647;1  ;1897;1898;الأجيال :;أسبوعية مصورة.;al-Ajyāl :;الأجيال;;;;القاهرة :;دار الاجيال،;1897-1898.;"1 بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";اسبوعية.;CEASE;متوفر ايضاً على نسخة مطبوعة.;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية، 1998;في المكتبة:1897: تموز-1898: تموز .;صدر العدد الاول السنة الاولى في 29 حزيران 1897.
b25792775;s  ;1924;193u;الأحرار :;جريدة يومية وطنية لا طائفية.;AL-AHRAR;الأحرار;;;;بيروت، لبنان :;مطبعة الأحرار،;1924-[193؟];"أعداد : مصورات ؛ 60 سم";يومية.;CEASE;متوفر أيضاً على ميكروفيلم رقم;;"في المكتبة: 1928: شباط؛ مج.7:ع.1379، 1518(1930:شباط، أيلول)؛ مج.8:ع.1728(1931:آب)؛ مج.10:ع.2149(1933:نيسان)";1924.
b25793585;1  ;1924;1933;الأحرار :;جريدة يومية وطنية لا طائفية.;AL-AHRAR;الأحرار;;;;بيروت، لبنان :;مطبعة الأحرار،;1924-[1933];"بكرة ميكروفيلم : ايجابي ؛ 35 مم";يومية.;CEASE;متوفر أيضاً على نسخة مطبوعة.;;"في المكتبة: 1930:كانون الثاني-1931:كانون الأول؛ 1932:تموز-كانون الأول؛ 1933:حزيران-كانون الأول.";1924.
b12821226;1  ;1926;1927;الأحرار المصورة :;أدبية، انتقادية، فكاهية، روائية /;al-Aḥrār al-Muṣawwarah :;الأحرار المصورة;;;;بيروت :;دار النهار للنشر،;1926-1927.;"1 بكرة ميكروفيلم : سلبي وايجابي ؛ 35 سم";;CEASE;متوفر ايضاً على نسخة مطبوعة.;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية.;في المكتبة :1926:نيسان-1927: كانون الثاني.;
b1282740x;s  ;1926;1927;الأحرار المصورة :;أدبية، إنتقادية، فكاهية، روائية /;al-Aḥrār Muṣawwarah :;الأحرار المصورة;;;;بيروت :;دار النهار للنشر،;1926-1927.;"مجلدات : مصورات ؛ 36 سم";أسبوعية.;CEASE;متوفر ايضاً على ميكروفيلم : Mic-NA:000047;;في المكتبة :ع.1-50 (1926: كانون الثاني11-1927: حزيران 27);
b2555573x;s  ;1925;195u;الأخبار الكنسية :;مجلة شهرية.;;الأخبار الكنسية;;;;القدس، فلسطين :;مطبعة بيت المقدس،;1924-[195?];"مجلدات ؛ 25 سم";شهرية.;CEASE;;;"في المكتبة:مج.13:ع.2، 10(1938:شباط، تشرين الأول)؛ مج.15:ع.2(1939:شباط)";العدد الأول (كانون الأول 1924)
b12826601;s  ;1920;1925;الأخلاق :;مجلة أدبية تاريخية روائية تصويرية فكاهية.;al-Akhlāq :;الأخلاق;;;;نيويورك :;المطبعة التجارية السورية الاميركية،;1920-1925.;"مجلدات : مصورات ؛ 30 سم";شهرية.;CEASE;متوفر ايضاً على ميكروفيلم : Mic-NA:000412;;"في المكتبة: ع.2(1921؛ مج.3:ع.6، 10(1922:حزيران، تشرين الأول)؛ مج.4(1923)؛ مج.5:ع.1، 4، 6(1924:كانون الثاني، نيسان، حزيران)؛ مج.6:ع.1، 6(1925:كانون الثاني، حزيران)؛ مج.10(1929)؛ مج.11:ع.2، 3(1930:شباط، آذار)";صدرت في 1920.
b13150352;1  ;1920;1925;الأخلاق :;مجلة أدبية تاريخية روائية تصويرية فكاهية.;al-Akhlāq :;الأخلاق;;;;نيويورك :;المطبعة التجارية السورية الاميركية،;1920-[1925];"3 بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";شهرية.;CEASE;متوفر ايضاً على نسخة مطبوعة.;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية، 2001;"في المكتبة:مج. 2:ع. 1-12 (1921)؛ مج.4:ع. 1-12/11 (1923)؛مج.5:ع. 1-2 (1924: كانون الثاني - شباط)";صدرت في 1920.
b26013204;s  ;1922;9999;الأرزة :;جريدة جمعية أرزة لبنان الرسمية /;"الأرزة :$""جريدة الأرزة""$""O cedro :""$""O cedro :""$""Cedro :""$""Arzah""";الأرزة;;;;ريو دي جانيرو، [البرازيل] :;جمعية أرزة لبنان،;1922-;"880-06 مجلدات ؛ 49 سم";أسبوعية;CEASE;;;في المكتبة: مج.11،ع.211(1934);السنة الأولي العدد الأول، 1 تشرين الثاني 1922-
b12824938;s  ;1892;1893;الأستاذ :;جريدة علمية تهذيبية فكاهية.;al-Ustādh :;الأستاذ;;;;بيروت :;دار صادر،;1996.;"3 مجلدات ؛ 29 سم";اسبوعية.;CEASE;متوفر ايضاً على ميكروفيلم : Mic-NA:000491;;في المكتبة :ع. 1-42 (1892-1893);صدر العدد الاول 24 آب 1892.
b13582021;1  ;1892;1893;الأستاذ :;جريدة علمية تهذيبية فكاهية.;al-Ustādh :;الأستاذ;;;;بيروت :;دار صادر،;1996.;"بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";;CEASE;متوفر ايضاً على نسخة مطبوعة.;;في المكتبة:ع.1-42 (1892-1893);صدر العدد الاول 24 آب 1892.
b12821639;1  ;1927;1931;الأضاحي.;;al-Aḍāḥī;الأضاحي;;;;بعلبك :;إدارة الأضاحي،;1927-1931.;"4 بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";;CEASE;;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية.;في المكتبة:1927:تموز-1931:أيار.;صدر العدد الأول تموز 1927.
b1282303x;1  ;1909;1910;الأمة.;;al-Ummah;الأمة;;;;دمشق :;[محمد كرد علي]،;1909-1910.;"1 بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";;CEASE;;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية.;في المكتبة:1909:كانون الأول1910:آذار16.;
b23273525;s  ;1922;192u;الأنوار:;لسان حال الأحرار.;"جريدة الأنوار :$""Al-Anouar :""";الأنوار;;;;دمشق، سوريا :;[يوسف الحاج]،;1922-[؟192];"مجلدات : مصورات ؛ 39 سم";أسبوعية.;CEASE;;;في المكتبة:مج.1:ع.1، 3/4، 7/8(1922:شباط، آذار);السنة الأولى، العدد الأول (شباط 1922)
b12821901;1  ;1879;9999;الأهرام /;;"al-Ahrām$""الأهرام اليومي""";الأهرام;;;;مصر :;مركز الاهرام للتنظيم وتكنولوجيا المعلومات،;[1879]-;"بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";شهرية.;ACTIV;;نسخة مصورة على ميكروفيلم. تم التصوير في مركز التنظيم والميكروفيلم في الاهرام.;في المكتبة:1879-;
b18307978;s  ;1922;1931;الأولاد.;;"al-Awlād$""مجلة الأولاد""";الأولاد ;;;;مصر :;[إسكندر مكاريوس]،;[1922-1931];"9 مجلدات : مصورات ؛  38 سم";أسبوعية.;CEASE;;تحفظ في دائرة الارشيف والمجموعات الخاصة.;في المكتبة: ع.308-359 (1929: كانون الثاني 3 - كانون الاول 26)، ع.362 (1930: كانون الثاني 16)، ع.367 - 373 (1930: شباط 20 - نيسان 3)،ع.378-379 (1930:أيار8 -15)، ع.382- 385 (1930: حزيران5 - 26)،ع.387(1930: تموز 10)، ع.389 -390 (1930: تموز 24 - 31)، ع.394-396 (1930: آب28- أيلول 11-)،ع.398-399 (1930أيلول 25- تشرين الاول 2)، ع.401-410 (1930: تشرين الاول 16 - كانون الاول 18)، ع.412 (1931: كانون الثاني 1)، ع.414 - 416(1931: كانون الثاني 15- 29)، ع.318- 420 (1931: شباط 12 - 26);
b25836882;s  ;1898;1906;الأيام :;جريدة سياسية حرة.;"Ayam$""Chronicle""";الأيام ;;;;نيويورك :;[يوسف نعمان معلوف]،;1898-[1906];"مجلد : مصورات ؛ 46 سم";;CEASE;;;في المكتبة : مج.1:ع.27-68(1898);تموز 1898.
b12822000;1  ;1911;1928;الآثار :;مجلة عامة مصورة.;"al-Āthār :$""مجلة الآثار :""$""al-Athar""";الآثار ;;;;زحلة :;عيسى إسكندر المعلوف،;1911-1928.;"5 بكرات ميكروفيلم : سلبي وايجابي ؛ 35 مم";;CEASE;متوفر ايضاً على نسخة مطبوعة.;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية.;"في المكتبة:1911:تموز-1914:تشرين الأول؛ 1927:كانون الثاني-1928:كانون الأول.";
b1282253x;s  ;1911;1928;الآثار :;مجلة عامة مصورة.;"al-Āthār :$""مجلة الآثار :""$""al-Athar""";الآثار ;;;;زحلة :;عيسى اسكندر المعلوف،;1911-1928.;5 مجلدات : مصورات;;CEASE;متوفر ايضاً على ميكروفيلم رقم : Mic-NA:000117;"يوجد نسخة ثانية من ج 5.$""السنة الاولى نسخة على فوتوكوبي.""";في المكتبة :مج.1-5(1912/1911، 1913/1912، 1927-1928);صدرت السنة الاولى 1911.
b12818069;s  ;1928;1930;البادية :;مجلة أدب وتاريخ وعلم وإجتماع.;al-Bādiyah :;البادية;;;;بيروت :;نسيب داود أبو شقرا،;1928-1930.;"2 مجلد : مصورات ؛ 23 سم";;CEASE;متوفر ايضاً على ميكروفيلم : Mic-NA:000452;ينقص العدد الثامن من السنة الثانية.;في المكتبة: مج.1:ع.1-مج.2:ع.8/10(1928:تموز-1930:ايار، حزيران، تموز);صدر الجزء الاول من المجلد الاول في تموز سنة 1928.
b13149854;1  ;1928;1930;البادية :;مجلة ادب وتاريخ وعلم واجتماع.;al-Bādiyah :;البادية;;;;بيروت :;نسيب داود أبو شقرا،;1928-1930.;"2 بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";;CEASE;متوفر ايضاً على نسخة مطبوعة.;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية، 2001;"في المكتبة:1928:تموز-1929:حزيران؛ 1929:تشرين الأول-1930:تموز.";صدر الجزء الأول من المجلد الأول في تموز سنة 1928.
b23286386;s  ;1920;191u;البدر :;مجلة علمية أدبية /;;البدر;;;;تونس :;مطبعة النهضة،;1920-19؟؟;"مجلد ؛ 24 سم";;CEASE;;;في المكتبة:مج.2:ع.1-10(1921-1922);العدد الأول (تموز 1920)
b1282124x;1  ;1908;1932;البرق :;جريدة أدب وفن وسياسة.;"al-Barq :$""البرق :""";;;;;بيروت :;بشارة عبد الله الخوري،;1908-1932.;"21 بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";;CEASE;ايضاً متوفر على نسخة مطبوعة.;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية;"في المكتبة:1908:أيلول-1914:آب29 ؛ 1918:تشرين الأول17-1919:تموز2؛ 1920:أيار11-1927:أيار3؛ 1929:كانون الثاني14-1932:تشرين الثاني23.";صدر العدد الاول ايلول 1908.
b12826613;s  ;1908;1932;البرق :;جريدة أدب وفن وسياسة.;"al-Barq :$""البرق :""";البرق;;;;بيروت :;بشارة عبد الله الخوري،;1908-1932.;مجلدات : مصورات;أسبوعية.;CEASE;ايضاً متوفر على ميكروفيلم : Mic-NA:000049;مجلد 22 : عدد 3365 ينقص الصفحات 5،6.;"في المكتبة:مج.1-5(1908-1912)؛ مج.19:ع.2686، 2814(1926:كانون الأول، 1927:حزيران)؛ مج.20:ع.3045(1928:حزيران)؛ مج.21:ع.3335، 3339، 9953(1930:شباط، نيسان)؛ مج.22-23(1930-1932)";صدر العدد الاول ايلول 1908.
b12821299;1  ;1870;1947;البشير :;جريدة كاثوليكية دينية إخبارية.;Al-Bachir :;البشير;;;;بيروت، لبنان :;المطبعة الكاثوليكية،;1870-1945.;"27 بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";;CEASE;متوفر أيضاً بنسخة ورقية.;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية.;في المكتبة : 1870 : أيلول - 1914، 1919 - 1947.;
b25756357;s  ;1870;1945;البشير :;جريدة كاثوليكية دينية إخبارية.;Al-Bachir :;البشير;;;;بيروت، لبنان :;المطبعة الكاثوليكية،;1870-1945.;"أعداد : مصورات ؛ 57 سم";;CEASE;متوفر أيضاً على ميكروفيلم Mic-NA:000054.;;"في المكتبة : مج.58:ع.3732، 3819، 3828(1928: كانون الثاني، تموز، آب)؛ مج.59:ع.3925، 3998، 3999(1929:نيسان، أيلول)؛ مج.60:ع.4157،4191، 4211، 4251(1930:تشرين الأول، كانون الأول، 1931:شباط، أيار)؛ مج.62:ع.4307، 4397، 4398(1931:أيلول، نيسان)؛ مج.63:ع.4544(1933:آذار)";
b12828154;1  ;1912;1924;البصائر :;مجلة علمية فنية إجتماعية.;al-Baṣā’ir :;البصائر;;;;بيروت :;[جميل العظم]،;1912-1924.;"بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";;CEASE;متوفر أيضاً بنسخة مطبوعة.;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية، 1994.;في المكتبة:مج.1-2(1912-1923/1924);
b22062944;s  ;1912;1924;البصائر :;مجلة علمية فنية إجتماعية.;al-Baṣā’ir :;البصائر;;;;بيروت :;[جميل العظم]،;1912-1924.;"مجلد ؛ 22 سم";;CEASE;متوفر أيضاً على ميكروفيلم رقم Mic-NA:000286.;;في المكتبة:مج.1-2(1912-1923/1924);
b12823399;1  ;1929;1947;البلاد :;جريدة يومية سياسية جامعة.;al-Bilād :;البلاد;;;;بغداد :;دار البلاد،;1929-1947.;"42 بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";يومية.;CEASE;;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية.;في المكتبة :1929:آذار-1930:تشرين اول، 1934: كانون اول-1937:آب، 1939:كانون الثاني-1947:تشرين اول،1955:نيسان-1960:كانون اول.;
b23569426;s  ;1929;1947;البلاد :;جريدة يومية سياسية جامعة.;al-Bilād :;البلاد;;;;بغداد :;دار البلاد،;1929-1947.;"مجلدات : مصورات ؛ 59 سم";يومية.;CEASE;متوفر أيضاً على ميركوفيلم Mic-NA:000178;;في المكتبة:مج.1:ع.2(1929:تشرين الأول);
b12820696;1  ;1911;1919;البلاغ.;;;البلاغ;;;;بيروت :;[محمد الباقر]،;1911-1919.;"1 بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";;CEASE;;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية.;في المكتبة:1918-1919;
b23620353;s  ;1911;1919;البلاغ.;;;البلاغ;;;;بيروت :;[محمد الباقر]،;1911-1919.;"عدد ؛ 60 سم";;CEASE;متوفر أيضاً على ميكروفيلم Mic-NA:000003.;;في المكتبة:مج.33:ع.6977(1946:كانون الأول);
b12818112;s  ;1897;1898;البيان :;مجلة علمية أدبية طبية صناعية.;al-Bayān :;البيان;;;;القاهرة :;دار البيان،;1897-1898.;"مجلدات : مصورات ؛ 23 سم";شهرية.;CEASE;متوفر ايضاً على ميكروفيلم : Mic-NA:000448;في المكتبة نسختين.;في المكتبة :ج 1(1897-1898);
b13150121;1  ;1897;1898;البيان :;مجلة علمية أدبية طبية صناعية.;al-Bayān :;البيان;;;;القاهرة :;دار البيان،;1897-1898.;"1 بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";شهرية.;CEASE;متوفر ايضاً على نسخة مطبوعة.;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية، 2001.;في المكتبة:مج. 1:ع.1-18(1897: آذار 1-1898: آب 16);
